,N,Features,Model,R² Score,MAE,RMSE
0,1,"Index(['Avg - real visits'], dtype='object')",Linear Regression,-0.02563140947539999,187999.36901224015,776058.9905393817
1,1,"Index(['Avg - real visits'], dtype='object')",Ridge Regression,-0.025631409475398437,187999.36901224026,776058.9905393812
2,1,"Index(['Avg - real visits'], dtype='object')",Lasso Regression,-0.0256314094740131,187999.3690123127,776058.9905388571
3,1,"Index(['Avg - real visits'], dtype='object')",ElasticNet Regression,-0.025631409472226974,187999.36901240604,776058.9905381813
4,1,"Index(['Avg - real visits'], dtype='object')",Decision Tree,-2.998995231938285,267017.1210691477,1532408.391276151
5,1,"Index(['Avg - real visits'], dtype='object')",Random Forest,-1.3753148968317537,242344.3747062569,1181026.5871627054
6,1,"Index(['Avg - real visits'], dtype='object')",Gradient Boosting,-2.439329522734026,249179.42134976454,1421137.083301534
7,1,"Index(['Avg - real visits'], dtype='object')",AdaBoost,-2.957086455034229,263471.32319715933,1524357.555714234
8,1,"Index(['Avg - real visits'], dtype='object')",K-Nearest Neighbors,-0.34966776121887544,223043.75585494508,890251.0927501096
9,1,"Index(['Avg - real visits'], dtype='object')",Support Vector Regressor,-0.018701339047650034,138892.9754539928,773432.6770782804
10,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",Linear Regression,-0.034615147679097014,187929.23534377865,779450.4185419702
11,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",Ridge Regression,-0.034615147679194935,187929.23534377807,779450.4185420071
12,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",Lasso Regression,-0.03462589052538556,187929.163952801,779454.4652130046
13,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",ElasticNet Regression,-0.03462589060600041,187929.16395230175,779454.465243371
14,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",Decision Tree,-2.9447609253421763,270513.29382656753,1521981.6703285605
15,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",Random Forest,-0.9836884346026269,258075.495337401,1079284.1741993085
16,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",Gradient Boosting,-1.5683443290156136,269117.8402902746,1228077.295094515
17,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",AdaBoost,-4.470432635812831,307867.98900413315,1792296.7426618473
18,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",K-Nearest Neighbors,-0.23161975081257902,210963.51133186813,850427.7062606303
19,2,"Index(['Avg - Total Visits', 'Avg - real visits'], dtype='object')",Support Vector Regressor,-0.018701264992285527,138892.71436613056,773432.6489656052
20,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",Linear Regression,-0.11177644527435993,196253.34156929774,807993.3986809418
21,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",Ridge Regression,-0.11177644527367514,196253.34156912126,807993.3986806929
22,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",Lasso Regression,-0.11173979167587444,196209.60668451767,807980.0794071608
23,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",ElasticNet Regression,-0.11173979107278398,196209.60654771773,807980.0791880065
24,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",Decision Tree,-3.0659854322274356,299281.4519474467,1545190.3507742672
25,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",Random Forest,-0.5603226334818787,229625.3996418577,957207.9180034299
26,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",Gradient Boosting,-1.3566749760946615,268026.71020376845,1176383.4973885173
27,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",AdaBoost,-5.127746870759802,1113623.3013579755,1896922.058239906
28,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",K-Nearest Neighbors,-0.35025525954918746,219285.312167033,890444.8308467596
29,3,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits'], dtype='object')",Support Vector Regressor,-0.018701187222675886,138892.61177674468,773432.6194429382
30,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",Linear Regression,-0.07479045920357752,182037.33319767562,794439.7747482162
31,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",Ridge Regression,-0.0747904592032731,182037.33319751735,794439.7747481036
32,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",Lasso Regression,-0.07478296692641995,181993.88360457323,794437.0057557584
33,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",ElasticNet Regression,-0.07478296665331241,181993.88348765878,794437.0056548233
34,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",Decision Tree,-0.07961193241309195,189178.1668694043,796219.6956336283
35,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",Random Forest,-0.02285693998591376,170680.92430164776,775008.6082651363
36,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",Gradient Boosting,-0.014119921454874396,166622.83751129216,771691.5332879185
37,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",AdaBoost,0.0005798238001305522,174101.0754060502,766078.2541284985
38,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",K-Nearest Neighbors,-0.03572491599810701,164669.25323076922,779868.3408710358
39,4,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers'],
      dtype='object')",Support Vector Regressor,-0.018675742780306592,138879.01758271988,773422.9602392159
40,5,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers', 'Adwords Traffic'],
      dtype='object')",Linear Regression,-0.06890716774742356,181573.475872447,792262.4505989169
41,5,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers', 'Adwords Traffic'],
      dtype='object')",Ridge Regression,-0.06890716774721839,181573.4758723026,792262.4505988407
42,5,"Index(['Avg Total Users', 'Avg - Total Visits', 'Avg - real visits',
       'Followers', 'Adwords Traffic'],
      dtype='object')",Lasso Regression,-0.0689021114744015,181538.33460217822,792260.576769218
