ID,Tenure in Nuvemshop in months,Monthly Sales,Employee Count,Current plan id,Estimated Page Views,Rank - Domain,Product Count - Domain,Estimated Sales - Domain,Combined Followers,Number of technologies,Avg Total Users,Avg - Total Visits,Avg - Average Bounce Rate,Avg - Average Time On Site,Avg - Average Pages Per Visit,Avg - real visits,Followers,Posts,Semrush Rank,Organic Keywords,Organic Traffic,Adwords Keywords,Adwords Traffic,PLA keywords,Average ticket value
1,4.6,"433,616.40",,55,861,3697577,135,"5,372.84",,1,828,2679,0.2,516,10,432,358082,2348,301292,240,436,0,0,0,486.95
2,6.2,"188,149.19",,55,2434,3863622,45,"15,178.28",,6,74,74,0,2,2,,48770,7186,262338,133,558,0,0,0,198.98
3,6.9,"209,656.76",,56,2801,942489,53,"13,969.39",,1,1261,1923,0.1,439,4,243,21618,323,161856,229,1251,0,0,0,2082.23
4,6.8,"185,180.44",,56,2564,1354704,4,"12,787.36",,6,2,3,0.3,62,4,1,,,4702229,3,0,0,0,0,317.88
5,7.8,"265,657.11",,56,3512,3097806,28,"16,420.75",,7,895,1334,0.2,44,4,299,498730,141,98046,155,2674,0,0,0,252.06
6,8.5,"170,486.24",,56,11333,801251,237,"38,859.09",714,8,1200,5894,0.7,364,7,3909,493820,1929,63564,1432,4896,3,417,0,269.06
7,8.6,"207,602.71",,56,86,6178595,30,859.65,,8,305,375,0.5,138,5,188,64533,1141,913972,423,37,0,0,0,592.06
8,8.1,"735,337.27",,13,2068,3016304,64,"12,894.82",55,8,37395,45627,0.6,198,4,25103,109670,590,144898,1155,1489,166,25621,73,845.53
9,7.4,"169,323.52",,29,1055,3369659,654,"6,581.73",,2,8837,26530,0.5,176,4,12827,,,297103,1836,447,0,0,0,186.55
10,5.7,"529,441.42",,38,41886,827878,42,"91,392.08",,6,57344,95370,0.4,274,4,35509,208011,604,28668,1898,14232,5,353,0,356.23
11,9.4,"325,395.68",,56,948,3806042,4,"5,910.12",70,6,300,862,0,360,5,,,,279267,112,499,0,0,0,615.65
12,9.0,"326,864.49",,52,5645,2921589,644,"22,874.88",,7,908,910,0.3,46,5,263,,,104591,637,2432,0,0,0,650.26
13,5.9,"979,654.88",,27,,10259766,,50,,1,113,113,0,2,2,,,,5140716,2,0,0,0,0,2990.43
14,10.5,"440,855.98",,56,11699,1057788,556,"40,114.99",,6,1472,5531,0.3,217,7,1773,227381,3442,48378,944,7050,0,0,0,396.72
15,10.6,"223,679.02",,56,1917,1495806,153,"11,954.57",102,8,886,886,0,84,6,1,187633,1494,224900,342,729,1,22,0,254.32
16,7.0,"285,734.84",,56,172,5838964,,"1,719.31",,2,,,,,,,72517,1965,803193,84,54,0,0,0,557.39
17,9.9,"160,626.64",,55,2133,1792929,12,"13,297.78",,2,25160,51137,0.5,251,3,26358,,,105965,1387,2386,0,0,0,177.45
18,8.6,"757,002.13",,29,24067,574735,210,"67,516.50",,6,960,0,0,9,9,,551592,2139,,,,,,,195.37
19,9.1,"609,262.55",,40,34453,611576,406,"96,650.75",,8,23627,34486,0.2,313,6,7670,,,22635,3337,19437,50,2865,0,327.2
20,9.3,"216,644.78",,31,27428,342780,24278,"76,945.84",196,12,1659,2293,0.4,84,3,900,105296,1132,31544,799,12491,55,3764,11,397.88
21,11.6,"272,291.58",,56,,,,,,,,,,,,,,,,,,,,,210.37
22,10.3,"304,742.15",,56,107,13168118,4,"1,074.56",888,8,962,1058,0.2,263,6,223,96086,249,,,,,,,348.21
23,10.0,"213,352.69",,29,26997,2113611,1,"75,736.95",9253,6,22509,44550,0.3,130,4,15517,177535,421,26373,2071,15929,0,0,0,205.63
24,11.9,"358,354.20",,26,7907,2361212,13,"29,577.50",,5,,,,,,,32424,82,,,,,,,5421.79
25,7.2,"885,944.13",24,38,123117,225233,31965,"153,502.16",475,10,37721,42715,0.7,365,2,27877,9231,349,5497,8709,111908,78,3816,220,164.21
26,12.4,"220,354.73",,55,1659,2064290,6,"10,342.72",,6,603,603,0.3,31,3,205,36188,915,115822,148,2087,52,3232,0,1042.25
27,13.1,"221,606.28",,56,,,,,,,31239,52879,0.6,103,2,31505,,,136687,478,1627,0,0,0,211.87
28,13.2,"151,507.83",,29,1809,3454482,12,"11,282.97",,2,561,563,0.5,23,2,259,778525,1163,321453,131,388,0,0,0,832.69
29,13.3,"852,914.18",,55,,,,,,,,,,,,,,,,,,,,,160.08
30,11.0,"250,815.66",,29,79356,682990,45,"173,146.62",178100,8,25391,39958,0.5,215,2,20207,657685,1736,15492,3238,31610,0,0,0,850.94
31,11.7,"1,723,010.95",,29,652347,273928,2,"610,005.89",,7,,,,,,,1944998,841,,,,,,,127.94
32,10.1,"259,132.80",13,32,90474,199145,11249,"197,405.01",13300,10,61348,103047,0.4,307,7,42902,80924,1502,12965,8042,39489,0,0,0,548.86
33,13.6,"253,256.10",,56,14306,870842,1595,"44,594.60",,7,7484,7902,0.9,287,2,6906,151495,5847,52674,778,6322,5,56,0,301.48
34,14.0,"291,393.88",,55,43,8846327,4,500,,6,,,,,,,146221,2008,606515,57,110,0,0,0,472.45
35,13.9,"212,835.94",,56,10579,2797007,4,"36,273.41",,6,8496,11433,0.4,153,2,4800,,,53522,236,6192,11,469,2,2016.24
36,13.9,"301,625.53",,56,41779,2279270,141,"91,157.02",,7,1737,2147,0.2,374,4,485,343599,1467,78217,1241,3687,0,0,0,258.46
37,14.6,"835,192.54",,29,16634,697980,30,"51,847.94",2474,7,61186,113541,0.5,389,4,59753,93509,1441,35888,944,10547,6,606,0,186.65
38,13.7,"153,432.95",,26,1378,2341133,4,"8,596.55",,7,4744,8705,0.8,104,2,6792,,,127973,161,1799,1,6,3,723.38
39,14.6,"382,082.99",,26,21,9504871,154,500,,6,,,,,,,37721,9383,1155384,124,18,0,0,0,630.84
40,13.4,"574,024.46",,38,7929,11679122,1,"29,658.10",5015391,7,15253,14280,0.3,224,3,4354,6487873,14255,,,,,,,261.63
41,15.2,"210,068.07",,55,86,8640194,,859.65,,1,,,,,,,107823,1204,,,,,,,3800.46
