,N,Features,Model,R² Score,MAE,RMSE,MedAE
0,1,['Avg - real visits'],Linear Regression,-0.021882379563243015,185312.15429343548,774639.3128727252,117865.65263954218
1,1,['Avg - real visits'],Ridge Regression,-0.021857216901092213,185315.21932981015,774629.7755190621,117877.92660405906
2,1,['Avg - real visits'],Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
3,1,['Avg - real visits'],ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
4,1,['Avg - real visits'],Decision Tree,-2.998987874150149,267103.5563236675,1532406.9815293504,80054.6625267994
5,1,['Avg - real visits'],Random Forest,-1.374588771924412,242545.31793607984,1180846.0556526436,85178.99398500007
6,1,['Avg - real visits'],Gradient Boosting,-2.381382606665717,247451.59529383996,1409114.3429924129,91571.45670418054
7,1,['Avg - real visits'],AdaBoost,-2.957086455034229,263471.3231971593,1524357.555714234,109964.6400359454
8,1,['Avg - real visits'],K-Nearest Neighbors,-0.34920899741392275,222963.11586373628,890099.7778479316,62798.98400000002
9,1,['Avg - real visits'],Support Vector Regressor,-0.006109948517679875,146922.87459167052,768637.9090888145,64202.06701999235
10,1,['Avg - real visits'],XGBRegressor,-0.298934287655662,244503.54472115386,873358.7360203397,91248.9140625
11,2,"['Avg - real visits', 'Followers']",Linear Regression,-0.03144948285290927,172322.8021045722,778257.0428504793,67478.465566919
12,2,"['Avg - real visits', 'Followers']",Ridge Regression,-0.03140737728990972,172320.83033268072,778241.1577848892,67509.79396546427
13,2,"['Avg - real visits', 'Followers']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
14,2,"['Avg - real visits', 'Followers']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
15,2,"['Avg - real visits', 'Followers']",Decision Tree,-0.12265811440012109,197437.37881119834,811937.9450385316,69879.17000000001
16,2,"['Avg - real visits', 'Followers']",Random Forest,-0.04339295136050003,184448.96194651775,782749.912175112,77248.9351
17,2,"['Avg - real visits', 'Followers']",Gradient Boosting,0.0013420746606962464,163156.62255479427,765786.0571089986,78022.98824977953
18,2,"['Avg - real visits', 'Followers']",AdaBoost,0.0005843269794069128,174519.0474255185,766076.5282319805,106856.72767716533
19,2,"['Avg - real visits', 'Followers']",K-Nearest Neighbors,-0.05621386721714394,171754.29192967035,787544.3331801373,47829.60399999999
20,2,"['Avg - real visits', 'Followers']",Support Vector Regressor,-0.0003044074222771087,146357.79275323843,766417.0708565318,65409.8502187101
21,2,"['Avg - real visits', 'Followers']",XGBRegressor,-0.11182349519471813,196286.59733221753,808010.4954736569,70433.98759765625
22,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Linear Regression,0.05321179674001886,166032.83057043183,745633.646752766,63902.37065330799
23,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Ridge Regression,0.053293519062228456,166027.23614383818,745601.466256705,63936.8803505037
24,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
25,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
26,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Decision Tree,0.7791512544775236,146643.4871286203,360119.42384827865,59099.2680666667
27,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Random Forest,0.448997812306669,149687.6311577691,568821.1550527785,53241.81059999997
28,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Gradient Boosting,0.41671017501062946,155590.59377353443,585249.8062509052,59440.41971721657
29,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",AdaBoost,0.04611628636757259,176291.25527094374,748422.4308762467,95499.34674899484
30,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",K-Nearest Neighbors,0.2969341542420315,143410.63332747252,642535.4280209397,42133.50800000001
31,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Support Vector Regressor,0.14626179638178494,135584.54927711116,708045.939066164,63416.475834921
32,3,"['Estimated Sales - Domain', 'Avg - real visits', 'Followers']",XGBRegressor,-0.024588275135679405,170749.54267337205,775664.238722518,54825.189375
33,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Linear Regression,0.04796033898393903,168008.23583065005,747698.6539701843,67670.7042632859
34,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Ridge Regression,0.048051460056812156,167997.49479553662,747662.8714620416,67699.1666253842
35,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
36,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
37,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Decision Tree,0.7754659012845855,142257.66718562518,363111.68966277846,54077.72
38,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Random Forest,0.4196208923292116,148510.15384205856,583787.7309850605,51143.1927
39,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Gradient Boosting,0.14060922894285954,152751.45039450726,710386.0443311159,56966.75824499425
40,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",AdaBoost,-8.966906514031123,894808.1026088473,2419241.7609575503,87906.5932510052
41,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",K-Nearest Neighbors,0.29955305507492813,147578.6250153846,641337.5981590826,46023.78599999999
42,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",Support Vector Regressor,0.13846288522365713,137469.41047896296,711272.5920176011,64547.00639516698
43,4,"['Rank - Domain', 'Estimated Sales - Domain', 'Avg - real visits', 'Followers']",XGBRegressor,0.10657852893430819,164176.19774780006,724314.652776223,56228.54634765625
44,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Linear Regression,0.04602508665436256,167774.89054201465,748458.2079204981,67104.50175866608
45,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Ridge Regression,0.04611501453921374,167764.70236785532,748422.9298178583,67137.55958263802
46,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
47,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
48,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Decision Tree,0.017070549463494622,169447.90663617462,759731.7074655442,57206.64398648648
